t,navigation_valid,navigation_degraded,failsafe,dvl_ok
44.932,True,False,False,True
44.977,True,False,False,True
45.025,True,False,False,True
45.071,True,False,False,True
45.109,True,False,False,True
45.155,True,False,False,True
45.2,True,False,False,True
45.238,True,False,False,True
45.28,True,False,False,True
45.328,True,False,False,True
45.37,True,False,False,True
45.41,True,False,False,True
45.452,True,False,False,True
45.491,True,False,False,True
45.538,True,False,False,True
45.58,True,False,False,True
45.618,True,False,False,True
45.665,True,False,False,True
45.708,True,False,False,True
45.748,True,False,False,True
45.794,True,False,False,True
45.836,True,False,False,True
45.878,True,False,False,True
45.924,True,False,False,True
45.969,True,False,False,True
46.008,True,False,False,True
46.052,True,False,False,True
46.097,True,False,False,True
46.136,True,False,False,True
46.18,True,False,False,True
46.223,True,False,False,True
46.264,True,False,False,True
46.298,True,False,False,True
46.333,True,False,False,True
46.37,True,False,False,True
46.408,True,False,False,True
46.454,True,False,False,True
46.482,True,False,False,True
46.525,True,False,False,True
46.57,True,False,False,True
46.612,True,True,False,False
46.659,True,True,False,False
46.703,True,True,False,False
46.746,True,True,False,False
46.79,True,True,False,False
46.829,True,True,False,False
46.872,True,True,False,False
46.92,True,True,False,False
46.965,True,True,False,False
47.01,True,True,False,False
47.058,True,True,False,False
47.101,True,True,False,False
47.144,True,True,False,False
47.191,True,True,False,False
47.23,True,True,False,False
47.276,True,True,False,False
47.323,True,True,False,False
47.369,True,True,False,False
47.412,True,True,False,False
47.456,True,True,False,False
47.503,True,True,False,False
47.545,True,True,False,False
47.587,True,True,False,False
47.629,True,True,False,False
47.669,True,True,False,False
47.715,True,True,False,False
47.759,True,True,False,False
47.803,True,True,False,False
47.848,True,True,False,False
47.893,True,True,False,False
47.933,True,True,False,False
47.978,True,True,False,False
48.024,True,True,False,False
48.066,True,True,False,False
48.11,True,True,False,False
48.15,True,True,False,False
48.189,True,True,False,False
48.226,True,True,False,False
48.271,True,True,False,False
48.312,True,True,False,False
48.354,True,True,False,False
48.397,True,True,False,False
48.441,True,True,False,False
48.484,True,True,False,False
48.531,True,True,False,False
48.577,True,True,False,False
48.62,True,True,False,False
48.661,True,True,False,False
48.704,True,True,False,False
48.743,True,True,False,False
48.786,True,True,False,False
48.829,True,True,False,False
48.869,True,True,False,False
48.914,True,True,False,False
48.958,True,True,False,False
49.001,True,True,False,False
49.046,True,True,False,False
49.092,True,True,False,False
49.135,True,True,False,False
49.175,True,True,False,False
49.224,True,True,False,False
49.262,True,True,False,False
49.305,True,True,False,False
49.354,True,True,False,False
49.4,True,True,False,False
49.441,True,True,False,False
49.49,True,True,False,False
49.533,True,True,False,False
49.576,True,True,False,False
49.618,True,True,False,False
49.66,True,True,False,False
49.702,True,True,False,False
49.751,True,True,False,False
49.795,True,True,False,False
49.84,True,True,False,False
49.884,True,True,False,False
49.928,True,False,False,True
49.97,True,False,False,True
50.017,True,False,False,True
50.059,True,False,False,True
50.101,True,False,False,True
50.144,True,False,False,True
50.185,True,False,False,True
50.228,True,False,False,True
50.276,True,False,False,True
50.322,True,False,False,True
50.362,True,False,False,True
50.405,True,False,False,True
50.449,True,False,False,True
50.495,True,False,False,True
50.545,True,False,False,True
50.591,True,False,False,True
50.633,True,False,False,True
50.678,True,False,False,True
50.725,True,False,False,True
50.768,True,False,False,True
50.815,True,False,False,True
50.86,True,False,False,True
50.907,True,False,False,True
50.953,True,False,False,True
50.997,True,False,False,True
51.04,True,False,False,True
51.085,True,False,False,True
51.133,True,False,False,True
51.177,True,False,False,True
51.222,True,False,False,True
51.271,True,False,False,True
51.311,True,False,False,True
51.353,True,False,False,True
51.398,True,False,False,True
51.44,True,False,False,True
51.483,True,False,False,True
51.529,True,False,False,True
51.575,True,False,False,True
51.617,True,False,False,True
51.663,True,False,False,True
51.71,True,False,False,True
51.755,True,False,False,True
51.802,True,False,False,True
51.843,True,False,False,True
51.885,True,False,False,True
51.935,True,False,False,True
51.98,True,False,False,True
52.024,True,False,False,True
52.071,True,False,False,True
52.111,True,False,False,True
52.153,True,False,False,True
52.194,True,False,False,True
52.239,True,False,False,True
52.28,True,False,False,True
52.33,True,False,False,True
52.375,True,False,False,True
52.417,True,False,False,True
52.464,True,False,False,True
52.511,True,False,False,True
52.554,True,False,False,True
52.601,True,False,False,True
52.64,True,False,False,True
52.686,True,True,False,False
52.734,True,True,False,False
52.778,True,True,False,False
52.818,True,True,False,False
52.865,True,True,False,False
52.909,True,True,False,False
52.948,True,True,False,False
52.993,True,True,False,False
53.037,True,True,False,False
53.082,True,True,False,False
53.131,True,True,False,False
53.177,True,True,False,False
53.221,True,True,False,False
53.264,True,True,False,False
53.311,True,True,False,False
53.354,True,True,False,False
53.395,True,True,False,False
53.439,True,True,False,False
53.481,True,True,False,False
53.527,True,True,False,False
53.575,True,True,False,False
53.618,True,True,False,False
53.66,True,True,False,False
53.707,True,True,False,False
53.749,True,True,False,False
53.793,True,True,False,False
53.838,True,True,False,False
53.879,True,True,False,False
53.923,True,True,False,False
53.967,True,True,False,False
54.013,True,True,False,False
54.059,True,True,False,False
54.107,True,True,False,False
54.15,True,True,False,False
54.191,True,True,False,False
54.239,True,True,False,False
54.283,True,True,False,False
54.327,True,True,False,False
54.371,True,True,False,False
54.415,True,True,False,False
54.454,True,True,False,False
54.488,True,True,False,False
54.534,True,True,False,False
54.581,True,True,False,False
54.621,True,True,False,False
54.665,True,False,False,True
54.711,True,False,False,True
54.753,True,False,False,True
54.794,True,False,False,True
54.839,True,False,False,True
54.884,True,False,False,True
54.928,True,False,False,True
54.977,True,False,False,True
55.019,True,False,False,True
55.06,True,False,False,True
55.106,True,False,False,True
55.151,True,False,False,True
55.194,True,False,False,True
55.24,True,False,False,True
55.283,True,False,False,True
55.328,True,False,False,True
55.371,True,False,False,True
55.415,True,False,False,True
55.455,True,False,False,True
55.504,True,False,False,True
55.543,True,False,False,True
55.587,True,False,False,True
55.632,True,False,False,True
55.676,True,False,False,True
55.721000000000004,True,False,False,True
55.77,True,False,False,True
55.812,True,False,False,True
55.853,True,False,False,True
55.9,True,False,False,True
55.941,True,False,False,True
55.985,True,False,False,True
56.032,True,False,False,True
56.071,True,False,False,True
56.111,True,False,False,True
56.161,True,False,False,True
56.205,True,False,False,True
56.251,True,False,False,True
56.299,True,False,False,True
56.345,True,False,False,True
56.389,True,False,False,True
56.433,True,False,False,True
56.48,True,False,False,True
56.522,True,False,False,True
56.563,True,False,False,True
56.61,True,False,False,True
56.652,True,False,False,True
56.695,True,False,False,True
56.739,True,False,False,True
56.782,True,False,False,True
56.826,True,False,False,True
56.867,True,False,False,True
56.911,True,False,False,True
56.959,True,False,False,True
57.002,True,False,False,True
57.046,True,False,False,True
57.088,True,False,False,True
57.132,True,False,False,True
57.179,True,False,False,True
57.22,True,False,False,True
57.259,True,False,False,True
57.296,True,False,False,True
57.34,True,False,False,True
57.38,True,False,False,True
57.421,True,False,False,True
57.468,True,False,False,True
57.509,True,False,False,True
57.556,True,False,False,True
57.603,True,False,False,True
57.645,True,False,False,True
57.688,True,False,False,True
57.731,True,False,False,True
57.772,True,False,False,True
57.815,True,False,False,True
57.857,True,False,False,True
57.901,True,False,False,True
57.947,True,False,False,True
57.995,True,False,False,True
58.036,True,False,False,True
58.08,True,False,False,True
58.122,True,False,False,True
58.17,True,False,False,True
58.217,True,False,False,True
58.259,True,False,False,True
58.303,True,False,False,True
58.346,True,False,False,True
58.397,True,False,False,True
58.437,True,False,False,True
58.479,True,False,False,True
58.525,True,False,False,True
58.567,True,False,False,True
58.613,True,False,False,True
58.659,True,False,False,True
58.703,True,False,False,True
58.748,True,True,False,False
58.793,True,True,False,False
58.836,True,True,False,False
58.88,True,True,False,False
58.928,True,True,False,False
58.975,True,True,False,False
59.019,True,True,False,False
59.065,True,True,False,False
59.108,True,True,False,False
59.15,True,True,False,False
59.199,True,True,False,False
59.242,True,True,False,False
59.283,True,True,False,False
59.33,True,True,False,False
59.375,True,True,False,False
59.42,True,True,False,False
59.467,True,True,False,False
59.507,True,True,False,False
59.55,True,True,False,False
59.598,True,True,False,False
59.642,True,True,False,False
59.684,True,True,False,False
59.731,True,True,False,False
59.774,True,True,False,False
59.815,True,True,False,False
59.86,True,True,False,False
59.901,True,True,False,False
59.946,True,True,False,False
59.995,True,True,False,False
60.039,True,True,False,False
