t,stage_name,stage
39.129000000000005,OUTBOUND_CRUISE_50M,1
39.179,OUTBOUND_CRUISE_50M,1
39.229,OUTBOUND_CRUISE_50M,1
39.279,OUTBOUND_CRUISE_50M,1
39.329,OUTBOUND_CRUISE_50M,1
39.379000000000005,OUTBOUND_CRUISE_50M,1
39.429,OUTBOUND_CRUISE_50M,1
39.479,OUTBOUND_CRUISE_50M,1
39.529,OUTBOUND_CRUISE_50M,1
39.579,OUTBOUND_CRUISE_50M,1
39.629000000000005,OUTBOUND_CRUISE_50M,1
39.679,OUTBOUND_CRUISE_50M,1
39.729,OUTBOUND_CRUISE_50M,1
39.779,OUTBOUND_CRUISE_50M,1
39.829,OUTBOUND_CRUISE_50M,1
39.879000000000005,OUTBOUND_CRUISE_50M,1
39.929,TURN_AROUND,1
39.979,TURN_AROUND,1
40.029,TURN_AROUND,1
40.079,TURN_AROUND,1
40.129000000000005,TURN_AROUND,1
40.179,TURN_AROUND,1
40.229,TURN_AROUND,1
40.279,TURN_AROUND,1
40.329,TURN_AROUND,1
40.379000000000005,TURN_AROUND,1
40.429,TURN_AROUND,1
40.479,TURN_AROUND,1
40.529,TURN_AROUND,1
40.579,TURN_AROUND,1
40.629000000000005,TURN_AROUND,1
40.679,TURN_AROUND,1
40.729,TURN_AROUND,1
40.779,TURN_AROUND,1
40.829,TURN_AROUND,1
40.879000000000005,TURN_AROUND,1
40.929,TURN_AROUND,1
40.979,TURN_AROUND,1
41.029,TURN_AROUND,1
41.079,TURN_AROUND,1
41.129000000000005,TURN_AROUND,1
41.179,TURN_AROUND,1
41.230000000000004,TURN_AROUND,1
41.279,TURN_AROUND,1
41.329,TURN_AROUND,1
41.379000000000005,TURN_AROUND,1
41.429,TURN_AROUND,1
41.479,TURN_AROUND,1
41.529,TURN_AROUND,1
41.579,TURN_AROUND,1
41.629000000000005,TURN_AROUND,1
41.679,TURN_AROUND,1
41.729,TURN_AROUND,1
41.779,TURN_AROUND,1
41.829,TURN_AROUND,1
41.879000000000005,TURN_AROUND,1
41.929,TURN_AROUND,1
41.979,TURN_AROUND,1
42.029,TURN_AROUND,1
42.079,TURN_AROUND,1
42.129000000000005,TURN_AROUND,1
42.179,TURN_AROUND,1
42.229,TURN_AROUND,1
42.279,TURN_AROUND,1
42.329,TURN_AROUND,1
42.379000000000005,TURN_AROUND,1
42.429,TURN_AROUND,1
42.479,TURN_AROUND,1
42.529,TURN_AROUND,1
42.579,TURN_AROUND,1
42.629000000000005,TURN_AROUND,1
42.679,TURN_AROUND,1
42.729,TURN_AROUND,1
42.779,TURN_AROUND,1
42.829,TURN_AROUND,1
42.879000000000005,TURN_AROUND,1
42.929,TURN_AROUND,1
42.979,TURN_AROUND,1
43.029,TURN_AROUND,1
43.079,TURN_AROUND,1
43.129000000000005,TURN_AROUND,1
43.179,TURN_AROUND,1
43.229,TURN_AROUND,1
43.279,TURN_AROUND,1
43.329,TURN_AROUND,1
43.379000000000005,TURN_AROUND,1
43.429,TURN_AROUND,1
43.479,TURN_AROUND,1
43.529,TURN_AROUND,1
43.579,TURN_AROUND,1
43.629000000000005,TURN_AROUND,1
43.679,TURN_AROUND,1
43.729,TURN_AROUND,1
43.779,TURN_AROUND,1
43.829,TURN_AROUND,1
43.879000000000005,TURN_AROUND,1
43.929,TURN_AROUND,1
43.979,TURN_AROUND,1
44.029,TURN_AROUND,1
44.079,TURN_AROUND,1
44.129000000000005,TURN_AROUND,1
44.179,TURN_AROUND,1
44.229,TURN_AROUND,1
44.279,TURN_AROUND,1
44.329,TURN_AROUND,1
44.379000000000005,TURN_AROUND,1
44.429,TURN_AROUND,1
44.479,TURN_AROUND,1
44.529,TURN_AROUND,1
44.579,TURN_AROUND,1
44.629000000000005,TURN_AROUND,1
44.679,TURN_AROUND,1
44.729,TURN_AROUND,1
44.779,TURN_AROUND,1
44.829,TURN_AROUND,1
44.879000000000005,TURN_AROUND,1
44.929,TURN_AROUND,1
44.979,TURN_AROUND,1
45.029,TURN_AROUND,1
45.079,TURN_AROUND,1
45.129000000000005,TURN_AROUND,1
45.179,TURN_AROUND,1
45.229,TURN_AROUND,1
45.279,TURN_AROUND,1
45.329,TURN_AROUND,1
45.379000000000005,TURN_AROUND,1
45.429,TURN_AROUND,1
45.479,TURN_AROUND,1
45.529,TURN_AROUND,1
45.579,TURN_AROUND,1
45.631,TURN_AROUND,1
45.679,TURN_AROUND,1
45.729,TURN_AROUND,1
45.779,TURN_AROUND,1
45.829,TURN_AROUND,1
45.879000000000005,TURN_AROUND,1
45.929,TURN_AROUND,1
45.979,TURN_AROUND,1
46.029,TURN_AROUND,1
46.079,TURN_AROUND,1
46.129000000000005,TURN_AROUND,1
46.179,TURN_AROUND,1
46.229,TURN_AROUND,1
46.279,TURN_AROUND,1
46.329,TURN_AROUND,1
46.379000000000005,TURN_AROUND,1
46.429,TURN_AROUND,1
46.479,TURN_AROUND,1
46.529,TURN_AROUND,1
46.579,TURN_AROUND,1
46.629000000000005,TURN_AROUND,1
46.679,TURN_AROUND,1
46.729,TURN_AROUND,1
46.779,TURN_AROUND,1
46.829,TURN_AROUND,1
46.879000000000005,TURN_AROUND,1
46.929,TURN_AROUND,1
46.979,TURN_AROUND,1
47.029,TURN_AROUND,1
47.079,TURN_AROUND,1
47.129000000000005,TURN_AROUND,1
47.179,TURN_AROUND,1
47.229,TURN_AROUND,1
47.279,TURN_AROUND,1
47.329,TURN_AROUND,1
47.38,TURN_AROUND,1
47.429,TURN_AROUND,1
47.479,TURN_AROUND,1
47.529,TURN_AROUND,1
47.579,TURN_AROUND,1
47.629000000000005,TURN_AROUND,1
47.679,TURN_AROUND,1
47.729,TURN_AROUND,1
47.779,TURN_AROUND,1
47.829,TURN_AROUND,1
47.879000000000005,TURN_AROUND,1
47.929,TURN_AROUND,1
47.979,TURN_AROUND,1
48.029,TURN_AROUND,1
48.079,TURN_AROUND,1
48.129000000000005,TURN_AROUND,1
48.18,TURN_AROUND,1
48.229,TURN_AROUND,1
48.279,TURN_AROUND,1
48.329,TURN_AROUND,1
48.379000000000005,TURN_AROUND,1
48.429,TURN_AROUND,1
48.479,TURN_AROUND,1
48.529,TURN_AROUND,1
48.579,TURN_AROUND,1
48.629000000000005,TURN_AROUND,1
48.679,TURN_AROUND,1
48.729,TURN_AROUND,1
48.779,TURN_AROUND,1
48.829,TURN_AROUND,1
48.88,TURN_AROUND,1
48.929,TURN_AROUND,1
48.979,TURN_AROUND,1
49.029,TURN_AROUND,1
49.079,TURN_AROUND,1
49.129000000000005,TURN_AROUND,1
49.179,TURN_AROUND,1
49.229,TURN_AROUND,1
49.279,TURN_AROUND,1
49.329,TURN_AROUND,1
49.379000000000005,TURN_AROUND,1
49.429,TURN_AROUND,1
49.479,TURN_AROUND,1
49.529,TURN_AROUND,1
49.579,TURN_AROUND,1
49.629000000000005,TURN_AROUND,1
49.679,TURN_AROUND,1
49.729,TURN_AROUND,1
49.779,TURN_AROUND,1
49.829,TURN_AROUND,1
49.879000000000005,TURN_AROUND,1
49.929,TURN_AROUND,1
49.979,TURN_AROUND,1
50.029,TURN_AROUND,1
50.079,TURN_AROUND,1
50.129000000000005,TURN_AROUND,1
50.179,TURN_AROUND,1
50.229,TURN_AROUND,1
50.279,TURN_AROUND,1
50.329,TURN_AROUND,1
50.379000000000005,TURN_AROUND,1
50.429,TURN_AROUND,1
50.479,TURN_AROUND,1
50.529,TURN_AROUND,1
50.579,TURN_AROUND,1
50.629000000000005,TURN_AROUND,1
50.679,TURN_AROUND,1
50.729,TURN_AROUND,1
50.778999999999996,TURN_AROUND,1
50.82900000000001,TURN_AROUND,1
50.879000000000005,TURN_AROUND,1
50.929,TURN_AROUND,1
50.979,TURN_AROUND,1
51.028999999999996,TURN_AROUND,1
51.07900000000001,TURN_AROUND,1
51.129000000000005,TURN_AROUND,1
51.179,TURN_AROUND,1
51.230000000000004,TURN_AROUND,1
51.278999999999996,TURN_AROUND,1
51.32900000000001,TURN_AROUND,1
51.379000000000005,TURN_AROUND,1
51.429,TURN_AROUND,1
51.479,TURN_AROUND,1
51.528999999999996,TURN_AROUND,1
51.57900000000001,TURN_AROUND,1
51.629000000000005,TURN_AROUND,1
51.679,TURN_AROUND,1
51.729,TURN_AROUND,1
51.778999999999996,TURN_AROUND,1
51.82900000000001,TURN_AROUND,1
51.879000000000005,TURN_AROUND,1
51.929,TURN_AROUND,1
51.980000000000004,TURN_AROUND,1
52.028999999999996,TURN_AROUND,1
52.07900000000001,TURN_AROUND,1
52.129000000000005,TURN_AROUND,1
52.179,TURN_AROUND,1
52.229,TURN_AROUND,1
52.278999999999996,TURN_AROUND,1
52.32900000000001,TURN_AROUND,1
52.379000000000005,TURN_AROUND,1
52.429,TURN_AROUND,1
52.479,TURN_AROUND,1
52.528999999999996,TURN_AROUND,1
52.57900000000001,TURN_AROUND,1
52.629000000000005,TURN_AROUND,1
52.679,TURN_AROUND,1
52.729,TURN_AROUND,1
52.778999999999996,TURN_AROUND,1
52.82900000000001,TURN_AROUND,1
52.879000000000005,TURN_AROUND,1
52.929,TURN_AROUND,1
52.979,TURN_AROUND,1
53.028999999999996,TURN_AROUND,1
53.07900000000001,TURN_AROUND,1
53.129000000000005,TURN_AROUND,1
53.179,TURN_AROUND,1
53.229,TURN_AROUND,1
53.278999999999996,TURN_AROUND,1
53.32900000000001,TURN_AROUND,1
53.379000000000005,TURN_AROUND,1
53.429,TURN_AROUND,1
53.479,TURN_AROUND,1
53.528999999999996,TURN_AROUND,1
53.57900000000001,TURN_AROUND,1
53.629000000000005,TURN_AROUND,1
53.679,TURN_AROUND,1
53.729,TURN_AROUND,1
53.778999999999996,TURN_AROUND,1
53.82900000000001,TURN_AROUND,1
53.879000000000005,TURN_AROUND,1
53.929,TURN_AROUND,1
53.979,TURN_AROUND,1
54.028999999999996,TURN_AROUND,1
54.07900000000001,TURN_AROUND,1
54.129000000000005,TURN_AROUND,1
