t,signal,value
0.34940528869628906,imu_accel_y_mps2,-0.013000000000000001
0.34940528869628906,imu_accel_z_mps2,9.731
0.34940528869628906,imu_gyro_x_radps,0.00825
0.34940528869628906,imu_gyro_y_radps,-0.016
0.34940528869628906,imu_gyro_z_radps,-0.0035
0.35432863235473633,imu_accel_x_mps2,0.093
0.35432863235473633,imu_accel_y_mps2,0.027
0.35432863235473633,imu_accel_z_mps2,9.817
0.35432863235473633,imu_gyro_x_radps,0.0085
0.35432863235473633,imu_gyro_y_radps,-0.014750000000000001
0.35432863235473633,imu_gyro_z_radps,-0.00125
0.3593165874481201,imu_accel_x_mps2,0.098
0.3593165874481201,imu_accel_y_mps2,0.032
0.3593165874481201,imu_accel_z_mps2,9.774000000000001
0.3593165874481201,imu_gyro_x_radps,0.00875
0.3593165874481201,imu_gyro_y_radps,-0.01625
0.3593165874481201,imu_gyro_z_radps,-0.0022500000000000003
0.36504054069519043,dvl_quality_speed_mps,0.0378785191346413
0.36700987815856934,imu_accel_x_mps2,0.005
0.36700987815856934,imu_accel_y_mps2,0.043000000000000003
0.36700987815856934,imu_accel_z_mps2,9.739
0.36700987815856934,imu_gyro_x_radps,0.0085
0.36700987815856934,imu_gyro_y_radps,-0.01575
0.36700987815856934,imu_gyro_z_radps,-0.003
0.3719918727874756,imu_accel_x_mps2,0.039
0.3719918727874756,imu_accel_y_mps2,0.081
0.3719918727874756,imu_accel_z_mps2,9.68
0.3719918727874756,imu_gyro_x_radps,0.00875
0.3719918727874756,imu_gyro_y_radps,-0.016
0.3719918727874756,imu_gyro_z_radps,-0.0022500000000000003
0.37695932388305664,imu_accel_x_mps2,0.135
0.37695932388305664,imu_accel_y_mps2,0.056
0.37695932388305664,imu_accel_z_mps2,9.709
0.37695932388305664,imu_gyro_x_radps,0.00975
0.37695932388305664,imu_gyro_y_radps,-0.01575
0.37695932388305664,imu_gyro_z_radps,-0.0022500000000000003
0.38201355934143066,imu_accel_x_mps2,0.08
0.38201355934143066,imu_accel_y_mps2,0.014
0.38201355934143066,imu_accel_z_mps2,9.703
0.38201355934143066,imu_gyro_x_radps,0.00975
0.38201355934143066,imu_gyro_y_radps,-0.0145
0.38201355934143066,imu_gyro_z_radps,-0.0035
0.38690972328186035,imu_accel_x_mps2,0.158
0.38690972328186035,imu_accel_y_mps2,0.098
0.38690972328186035,imu_accel_z_mps2,9.657
0.38690972328186035,imu_gyro_x_radps,0.009000000000000001
0.38690972328186035,imu_gyro_y_radps,-0.015
0.38690972328186035,imu_gyro_z_radps,-0.00175
0.39195704460144043,imu_accel_x_mps2,0.032
0.39195704460144043,imu_accel_y_mps2,0.134
0.39195704460144043,imu_accel_z_mps2,9.739
0.39195704460144043,imu_gyro_x_radps,0.01025
0.39195704460144043,imu_gyro_y_radps,-0.015
0.39195704460144043,imu_gyro_z_radps,-0.003
0.3969719409942627,imu_accel_x_mps2,0.084
0.3969719409942627,imu_accel_y_mps2,0.0
0.3969719409942627,imu_accel_z_mps2,9.725
0.3969719409942627,imu_gyro_x_radps,0.01
0.3969719409942627,imu_gyro_y_radps,-0.014750000000000001
0.3969719409942627,imu_gyro_z_radps,-0.00375
0.4020719528198242,imu_accel_x_mps2,0.07100000000000001
0.4020719528198242,imu_accel_y_mps2,-0.014
0.4020719528198242,imu_accel_z_mps2,9.616
0.4020719528198242,imu_gyro_x_radps,0.0095
0.4020719528198242,imu_gyro_y_radps,-0.01425
0.4020719528198242,imu_gyro_z_radps,-0.003
0.40689754486083984,imu_accel_x_mps2,0.045
0.40689754486083984,imu_accel_y_mps2,0.069
0.40689754486083984,imu_accel_z_mps2,9.6
0.40689754486083984,imu_gyro_x_radps,0.01
0.40689754486083984,imu_gyro_y_radps,-0.014
0.40689754486083984,imu_gyro_z_radps,-0.0015
0.4122626781463623,imu_accel_x_mps2,0.12
0.4122626781463623,imu_accel_y_mps2,0.038
0.4122626781463623,imu_accel_z_mps2,9.731
0.4122626781463623,imu_gyro_x_radps,0.00925
0.4122626781463623,imu_gyro_y_radps,-0.01425
0.4122626781463623,imu_gyro_z_radps,-0.00275
0.416825532913208,imu_accel_x_mps2,0.074
0.416825532913208,imu_accel_y_mps2,0.029
0.416825532913208,imu_accel_z_mps2,9.652000000000001
0.416825532913208,imu_gyro_x_radps,0.00975
0.416825532913208,imu_gyro_y_radps,-0.0125
0.416825532913208,imu_gyro_z_radps,-0.00275
0.42192602157592773,imu_accel_x_mps2,0.075
0.42192602157592773,imu_accel_y_mps2,-0.013000000000000001
0.42192602157592773,imu_accel_z_mps2,9.697000000000001
0.42192602157592773,imu_gyro_x_radps,0.00925
0.42192602157592773,imu_gyro_y_radps,-0.01325
0.42192602157592773,imu_gyro_z_radps,-0.00375
0.4268937110900879,imu_accel_x_mps2,0.111
0.4268937110900879,imu_accel_y_mps2,0.034
0.4268937110900879,imu_accel_z_mps2,9.681000000000001
0.4268937110900879,imu_gyro_x_radps,0.0105
0.4268937110900879,imu_gyro_y_radps,-0.01375
0.4268937110900879,imu_gyro_z_radps,-0.001
0.4340510368347168,imu_accel_x_mps2,0.18
0.4340510368347168,imu_accel_y_mps2,0.01
0.4340510368347168,imu_accel_z_mps2,9.681000000000001
0.4340510368347168,imu_gyro_x_radps,0.0095
0.4340510368347168,imu_gyro_y_radps,-0.012750000000000001
0.4340510368347168,imu_gyro_z_radps,-0.0022500000000000003
0.43496274948120117,dvl_quality_speed_mps,0.02045275883642903
0.43938779830932617,imu_accel_x_mps2,0.07100000000000001
0.43938779830932617,imu_accel_y_mps2,0.084
0.43938779830932617,imu_accel_z_mps2,9.708
